slug,decoded_slug,primary_business_name,primary_platform,enterprise_active,hydreight_active,both_active,enterprise_business_name,hydreight_business_name,enterprise_status,hydreight_status,enterprise_page_title,hydreight_page_title,enterprise_url,hydreight_url,tested_at
NDIz,423,THE DRIPBaR - Florida,Enterprise,True,False,False,THE DRIPBaR - Florida,,ACTIVE,ERROR_PAGE,THE DRIPBaR - Florida,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDIz,https://booking.hydreight.com/b/NDIz,2025-06-28T22:07:22.419307
NDI0,424,Hydrafacial at Home,Enterprise,True,False,False,Hydrafacial at Home,,ACTIVE,ERROR_PAGE,Hydrafacial at Home,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI0,https://booking.hydreight.com/b/NDI0,2025-06-28T22:07:34.915450
NDI1,425,DRIPBaR Direct - Foxboro,Enterprise,True,True,True,DRIPBaR Direct - Foxboro,Coachella Valley IV Therapy LLC,ACTIVE,ACTIVE,DRIPBaR Direct - Foxboro,Coachella Valley IV Therapy LLC,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI1,https://booking.hydreight.com/b/NDI1,2025-06-28T22:07:48.328386
NDI2,426,Oh My Olivia,Enterprise,True,False,False,Oh My Olivia,,ACTIVE,ERROR_PAGE,Oh My Olivia,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI2,https://booking.hydreight.com/b/NDI2,2025-06-28T22:08:00.208744
NDI5,429,Wellspring Concierge Nurses2,Hydreight,False,True,False,,Wellspring Concierge Nurses2,ERROR_PAGE,ACTIVE,undefined,Wellspring Concierge Nurses2,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI5,https://booking.hydreight.com/b/NDI5,2025-06-28T22:08:39.862524
NDM1,435,Elevation Hydration,Hydreight,False,True,False,,Elevation Hydration,ERROR_PAGE,ACTIVE,undefined,Elevation Hydration,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDM1,https://booking.hydreight.com/b/NDM1,2025-06-28T22:09:55.438270
NDQ5,449,Rejuvenation Station LLC,Hydreight,False,True,False,,Rejuvenation Station LLC,ERROR_PAGE,ACTIVE,undefined,Rejuvenation Station LLC,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDQ5,https://booking.hydreight.com/b/NDQ5,2025-06-28T22:13:05.911561
NDY3,467,Glo Hydration,Hydreight,False,True,False,,Glo Hydration,ERROR_PAGE,ACTIVE,undefined,Glo Hydration,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDY3,https://booking.hydreight.com/b/NDY3,2025-06-28T22:17:00.757602
NDc1,475,Alpha Fit And Rejuvenation,Hydreight,False,True,False,,Alpha Fit And Rejuvenation,ERROR_PAGE,ACTIVE,undefined,Alpha Fit And Rejuvenation,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDc1,https://booking.hydreight.com/b/NDc1,2025-06-28T22:18:47.474899
NDc3,477,Nuweigh Nutrition & Weight Loss,Enterprise,True,True,True,Nuweigh Nutrition & Weight Loss,Kayla Austin,ACTIVE,ACTIVE,Nuweigh Nutrition & Weight Loss,Kayla Austin,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDc3,https://booking.hydreight.com/b/NDc3,2025-06-28T22:19:15.940222
